id,Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17,action,video_src
2566,907,94,18,274,954,141,930,223,NULL,NULL,30,274,30,313,41,340,984,317,NULL,NULL,NULL,NULL,30,344,30,411,24,501,907,82,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2567,907,94,18,274,954,137,924,219,NULL,NULL,30,274,30,313,41,340,966,329,NULL,NULL,NULL,NULL,30,344,30,411,24,501,907,82,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2568,907,94,18,274,954,133,919,219,NULL,NULL,36,270,30,313,41,337,984,337,NULL,NULL,NULL,NULL,30,344,30,407,24,497,907,82,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2569,913,94,18,274,960,133,924,211,NULL,NULL,30,274,30,313,41,337,972,340,NULL,NULL,NULL,NULL,30,340,30,407,24,497,901,86,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2570,907,98,18,274,948,137,913,207,NULL,NULL,36,270,30,313,41,337,966,337,966,477,978,614,30,340,30,407,24,497,901,90,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2571,907,98,966,137,954,137,919,200,NULL,NULL,30,274,30,313,36,337,966,329,NULL,NULL,NULL,NULL,1007,317,NULL,NULL,NULL,NULL,901,90,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2572,907,106,966,133,954,137,924,192,NULL,NULL,30,274,30,313,36,337,960,293,NULL,NULL,NULL,NULL,1007,297,NULL,NULL,NULL,NULL,901,94,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2573,901,106,960,141,948,141,919,196,NULL,NULL,30,270,30,313,36,337,960,297,NULL,NULL,NULL,NULL,1007,297,NULL,NULL,NULL,NULL,895,94,907,90,NULL,NULL,18,239,"jump forward","Forward Jump _ By MovNat.mp4"
2574,901,106,960,145,948,145,919,192,NULL,NULL,30,270,30,313,36,337,960,231,948,266,978,344,996,227,996,270,1007,340,895,94,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2575,901,113,954,141,942,145,919,196,NULL,NULL,30,270,30,313,36,337,960,258,948,270,978,348,996,243,990,282,996,348,895,106,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2576,895,113,954,149,942,149,913,196,NULL,NULL,30,270,30,309,36,337,960,239,942,270,984,352,996,235,1001,278,1013,352,889,106,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2577,895,125,954,157,942,160,907,207,NULL,NULL,30,270,30,313,36,337,954,235,942,278,984,356,996,231,1001,278,1025,348,889,117,18,243,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2578,895,129,948,172,936,172,895,223,865,235,30,270,30,313,30,337,960,297,942,274,990,360,1013,286,960,489,984,638,889,121,907,117,NULL,NULL,24,239,"jump forward","Forward Jump _ By MovNat.mp4"
2579,889,141,948,176,936,180,901,235,NULL,NULL,30,270,30,313,36,337,960,290,942,274,996,360,1007,274,990,278,1031,356,889,129,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2580,883,149,942,184,930,188,901,247,NULL,NULL,30,270,30,313,30,337,972,344,960,485,984,630,1019,340,960,489,984,638,877,137,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2581,871,157,942,196,930,196,901,262,NULL,NULL,954,200,901,270,806,325,1013,372,960,477,NULL,NULL,1031,368,954,485,984,638,871,145,877,141,NULL,NULL,924,137,"jump forward","Forward Jump _ By MovNat.mp4"
2582,871,168,942,203,930,203,901,278,NULL,NULL,948,203,913,282,830,344,1025,372,948,481,978,626,1025,372,954,485,984,634,859,157,877,153,NULL,NULL,919,149,"jump forward","Forward Jump _ By MovNat.mp4"
2583,865,176,936,211,919,211,901,301,871,356,948,215,913,309,865,356,1013,383,942,481,NULL,NULL,1031,380,948,485,984,626,859,168,877,164,NULL,NULL,913,157,"jump forward","Forward Jump _ By MovNat.mp4"
2584,865,180,936,223,919,223,913,309,NULL,NULL,942,219,930,325,889,376,1019,380,966,481,NULL,NULL,1025,376,948,489,984,630,853,172,871,168,NULL,NULL,907,164,"jump forward","Forward Jump _ By MovNat.mp4"
2585,853,188,924,227,907,231,913,313,NULL,NULL,936,223,948,333,924,395,1019,380,942,489,978,626,1025,376,954,493,984,634,847,180,859,172,NULL,NULL,895,172,"jump forward","Forward Jump _ By MovNat.mp4"
2586,847,200,924,239,907,243,924,337,924,434,936,239,966,337,972,411,1001,383,942,485,NULL,NULL,1019,383,954,485,984,618,836,192,847,188,NULL,NULL,889,180,"jump forward","Forward Jump _ By MovNat.mp4"
2587,836,211,913,250,895,250,930,340,960,403,924,247,990,333,1007,415,984,395,930,485,978,622,1031,380,948,493,984,622,830,203,841,196,NULL,NULL,877,192,"jump forward","Forward Jump _ By MovNat.mp4"
2588,824,219,907,258,889,262,930,344,NULL,NULL,919,254,1007,325,1061,399,996,399,924,493,978,622,1025,399,942,497,984,626,812,207,830,203,NULL,NULL,871,200,"jump forward","Forward Jump _ By MovNat.mp4"
2589,824,231,901,262,877,270,NULL,NULL,NULL,NULL,913,258,1007,301,1090,364,1019,399,924,497,984,630,1013,403,936,497,990,638,812,223,824,215,NULL,NULL,859,211,"jump forward","Forward Jump _ By MovNat.mp4"
2590,812,239,895,270,871,282,NULL,NULL,NULL,NULL,913,262,1019,286,1096,321,1001,407,913,497,NULL,NULL,1031,399,930,501,990,638,806,231,818,227,NULL,NULL,853,219,"jump forward","Forward Jump _ By MovNat.mp4"
2591,800,243,889,278,865,286,NULL,NULL,NULL,NULL,907,266,1013,274,1090,286,996,407,913,497,966,626,1019,403,924,501,990,638,800,235,806,231,NULL,NULL,847,227,"jump forward","Forward Jump _ By MovNat.mp4"
2592,794,250,877,278,853,286,NULL,NULL,NULL,NULL,907,266,1019,258,1096,258,984,411,907,501,978,630,1019,403,924,505,990,638,NULL,NULL,800,239,NULL,NULL,841,231,"jump forward","Forward Jump _ By MovNat.mp4"
2593,788,258,871,286,847,297,NULL,NULL,NULL,NULL,913,270,1019,258,1090,247,990,411,907,505,NULL,NULL,1013,407,919,509,990,638,NULL,NULL,794,243,NULL,NULL,836,239,"jump forward","Forward Jump _ By MovNat.mp4"
2594,782,274,871,293,847,305,NULL,NULL,NULL,NULL,901,278,1007,262,1084,247,990,419,913,513,978,630,1001,415,913,513,990,634,NULL,NULL,788,258,NULL,NULL,824,250,"jump forward","Forward Jump _ By MovNat.mp4"
2595,770,274,865,297,830,309,NULL,NULL,NULL,NULL,895,282,996,278,1067,274,972,419,907,517,972,634,996,411,901,517,990,638,NULL,NULL,776,262,NULL,NULL,818,250,"jump forward","Forward Jump _ By MovNat.mp4"
2596,770,274,859,301,830,313,NULL,NULL,NULL,NULL,877,290,972,301,1067,309,972,423,895,520,978,630,990,419,895,520,984,634,NULL,NULL,776,258,NULL,NULL,812,254,"jump forward","Forward Jump _ By MovNat.mp4"
2597,764,270,841,297,830,301,954,337,1043,368,853,293,954,333,1043,364,972,423,883,520,972,630,972,423,895,524,984,630,NULL,NULL,764,258,NULL,NULL,800,254,"jump forward","Forward Jump _ By MovNat.mp4"
2598,753,258,836,293,818,293,865,380,NULL,NULL,847,286,930,352,972,423,930,427,883,528,972,630,954,427,883,528,978,630,NULL,NULL,759,243,NULL,NULL,800,243,"jump forward","Forward Jump _ By MovNat.mp4"
2599,747,243,836,278,830,278,824,368,818,427,841,278,883,383,877,446,972,407,877,532,960,626,924,419,877,536,978,626,NULL,NULL,759,227,NULL,NULL,800,227,"jump forward","Forward Jump _ By MovNat.mp4"
2600,747,223,824,258,812,258,806,344,NULL,NULL,836,258,824,356,759,423,942,415,877,544,978,622,930,415,871,540,978,626,NULL,NULL,753,211,NULL,NULL,800,207,"jump forward","Forward Jump _ By MovNat.mp4"
2601,747,207,806,235,794,239,759,301,NULL,NULL,824,239,764,309,664,333,901,403,877,540,978,626,919,399,877,540,978,626,753,196,753,192,NULL,NULL,788,188,"jump forward","Forward Jump _ By MovNat.mp4"
2602,735,172,776,203,764,207,741,247,693,254,800,203,753,247,717,250,812,321,NULL,NULL,NULL,NULL,847,309,883,372,877,419,735,164,741,160,NULL,NULL,776,164,"jump forward","Forward Jump _ By MovNat.mp4"
2603,705,110,741,145,729,145,699,157,652,153,753,141,705,160,687,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,102,705,102,NULL,NULL,717,98,"jump forward","Forward Jump _ By MovNat.mp4"
2604,676,74,717,102,705,102,664,133,551,110,735,102,693,137,622,137,723,196,735,262,723,286,741,196,753,266,NULL,NULL,681,67,681,67,NULL,NULL,711,67,"jump forward","Forward Jump _ By MovNat.mp4"
2605,640,55,705,82,711,78,616,121,516,125,699,86,628,125,545,129,711,207,705,286,NULL,NULL,717,207,729,293,NULL,NULL,NULL,NULL,646,47,NULL,NULL,676,43,"jump forward","Forward Jump _ By MovNat.mp4"
2606,616,47,681,74,676,70,622,121,539,160,681,74,628,117,569,153,687,219,NULL,NULL,NULL,NULL,699,223,711,274,687,391,NULL,NULL,616,35,NULL,NULL,652,23,"jump forward","Forward Jump _ By MovNat.mp4"
2607,593,35,646,63,634,63,610,133,516,219,658,63,628,137,533,211,640,172,NULL,NULL,NULL,NULL,664,180,681,250,NULL,NULL,NULL,NULL,599,23,NULL,NULL,628,20,"jump forward","Forward Jump _ By MovNat.mp4"
2608,563,31,622,63,NULL,NULL,NULL,NULL,NULL,NULL,628,67,599,160,581,231,640,227,NULL,NULL,NULL,NULL,622,223,569,337,676,376,NULL,NULL,575,20,NULL,NULL,610,16,"jump forward","Forward Jump _ By MovNat.mp4"
2609,527,27,593,67,599,63,NULL,NULL,NULL,NULL,593,70,610,168,610,250,604,223,NULL,NULL,NULL,NULL,610,231,521,344,610,387,NULL,NULL,539,20,NULL,NULL,575,16,"jump forward","Forward Jump _ By MovNat.mp4"
2610,498,31,563,70,569,67,545,141,640,247,557,74,581,153,634,235,575,231,NULL,NULL,NULL,NULL,581,231,474,352,NULL,NULL,NULL,NULL,510,20,NULL,NULL,545,20,"jump forward","Forward Jump _ By MovNat.mp4"
2611,474,35,545,78,551,74,NULL,NULL,NULL,NULL,533,82,587,164,646,211,557,227,NULL,NULL,NULL,NULL,563,227,444,372,516,481,NULL,NULL,480,23,NULL,NULL,521,23,"jump forward","Forward Jump _ By MovNat.mp4"
2612,450,55,527,98,539,90,616,164,658,200,504,106,510,168,NULL,NULL,616,211,NULL,NULL,NULL,NULL,533,247,421,399,450,532,NULL,NULL,456,43,NULL,NULL,504,39,"jump forward","Forward Jump _ By MovNat.mp4"
2613,427,70,492,117,480,110,NULL,NULL,NULL,NULL,498,117,599,168,634,207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,439,59,NULL,NULL,474,59,"jump forward","Forward Jump _ By MovNat.mp4"
2614,403,98,462,153,NULL,NULL,NULL,NULL,NULL,NULL,468,149,545,200,622,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,409,86,NULL,NULL,439,90,"jump forward","Forward Jump _ By MovNat.mp4"
2615,379,137,433,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,421,337,332,473,NULL,NULL,421,337,326,477,290,638,NULL,NULL,379,129,NULL,NULL,NULL,NULL,"jump forward","Forward Jump _ By MovNat.mp4"
2616,385,164,403,203,391,203,NULL,NULL,NULL,NULL,427,207,444,293,439,301,397,286,290,501,314,642,409,286,415,403,NULL,NULL,379,157,391,157,NULL,NULL,409,153,"jump forward","Forward Jump _ By MovNat.mp4"
2617,344,188,391,247,379,243,NULL,NULL,NULL,NULL,397,250,391,360,391,430,367,423,279,501,314,618,356,427,249,497,290,638,344,184,350,180,NULL,NULL,367,184,"jump forward","Forward Jump _ By MovNat.mp4"
2618,308,215,379,270,391,266,NULL,NULL,NULL,NULL,367,274,332,380,296,462,403,446,290,517,302,626,373,442,255,509,302,638,NULL,NULL,320,203,NULL,NULL,356,207,"jump forward","Forward Jump _ By MovNat.mp4"
2619,296,231,361,286,379,282,NULL,NULL,NULL,NULL,344,290,296,383,213,473,403,462,NULL,NULL,NULL,NULL,373,462,243,517,302,626,NULL,NULL,308,219,NULL,NULL,332,227,"jump forward","Forward Jump _ By MovNat.mp4"
2620,284,250,350,305,361,301,NULL,NULL,NULL,NULL,326,309,249,399,166,462,403,477,NULL,NULL,NULL,NULL,367,477,231,517,302,626,NULL,NULL,290,239,NULL,NULL,320,247,"jump forward","Forward Jump _ By MovNat.mp4"
2621,267,262,332,317,350,313,NULL,NULL,NULL,NULL,314,321,213,407,142,438,403,489,NULL,NULL,NULL,NULL,367,485,231,513,302,634,NULL,NULL,279,250,NULL,NULL,308,262,"jump forward","Forward Jump _ By MovNat.mp4"
2622,255,274,320,325,326,317,NULL,NULL,NULL,NULL,308,329,196,403,119,430,397,497,NULL,NULL,NULL,NULL,367,497,237,513,296,634,NULL,NULL,267,266,NULL,NULL,296,274,"jump forward","Forward Jump _ By MovNat.mp4"
2623,249,286,314,333,326,329,NULL,NULL,NULL,NULL,302,337,190,403,113,419,391,501,NULL,NULL,NULL,NULL,367,497,237,517,296,634,NULL,NULL,261,278,NULL,NULL,290,286,"jump forward","Forward Jump _ By MovNat.mp4"
2624,243,290,302,340,314,337,NULL,NULL,NULL,NULL,290,344,172,403,107,403,391,505,NULL,NULL,NULL,NULL,367,505,237,520,296,638,NULL,NULL,249,278,NULL,NULL,279,290,"jump forward","Forward Jump _ By MovNat.mp4"
2625,237,297,296,344,314,340,NULL,NULL,NULL,NULL,284,348,166,399,89,411,391,505,243,517,NULL,NULL,367,505,237,524,296,638,NULL,NULL,243,286,NULL,NULL,273,293,"jump forward","Forward Jump _ By MovNat.mp4"
2626,231,305,296,348,314,344,NULL,NULL,NULL,NULL,279,356,166,403,83,411,391,505,249,517,NULL,NULL,367,509,231,524,296,638,NULL,NULL,243,293,NULL,NULL,273,305,"jump forward","Forward Jump _ By MovNat.mp4"
2627,225,309,290,352,308,348,NULL,NULL,NULL,NULL,273,360,160,403,71,411,391,505,243,517,NULL,NULL,361,509,231,524,296,638,NULL,NULL,237,301,NULL,NULL,261,309,"jump forward","Forward Jump _ By MovNat.mp4"
2628,225,313,279,352,296,348,NULL,NULL,NULL,NULL,267,360,154,407,71,411,385,505,249,520,NULL,NULL,361,509,231,524,296,638,NULL,NULL,231,305,NULL,NULL,255,309,"jump forward","Forward Jump _ By MovNat.mp4"
2657,212,121,155,176,134,176,176,258,274,293,181,180,202,254,253,286,124,360,140,505,129,638,160,360,150,509,140,634,202,110,217,110,165,110,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2658,212,121,155,176,134,176,176,258,274,293,181,180,202,250,253,286,124,360,140,505,129,638,160,360,150,509,140,634,202,110,217,113,165,110,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2659,217,125,160,176,140,176,181,258,279,290,181,180,207,254,264,286,129,360,145,501,140,630,155,360,155,509,145,634,207,113,217,117,171,113,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2660,217,133,160,184,140,180,191,262,279,293,186,188,212,258,274,293,114,360,160,497,145,622,160,364,160,501,145,622,207,117,222,121,171,113,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2661,222,141,165,184,145,180,191,266,284,305,186,188,207,262,274,301,124,364,176,501,150,622,155,364,155,501,145,626,217,129,227,133,176,117,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2662,233,141,165,188,145,184,196,274,279,313,186,192,212,270,274,309,124,368,171,501,145,630,140,368,150,501,140,634,227,129,NULL,NULL,181,125,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2663,233,153,171,196,150,192,196,286,274,333,191,200,222,282,269,329,119,376,171,501,145,626,129,376,145,497,140,630,227,137,238,141,186,129,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2664,233,157,176,200,155,196,186,293,258,356,196,203,227,293,274,352,114,376,176,501,145,630,129,380,150,505,140,630,227,141,238,149,191,137,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2665,243,160,181,207,160,203,181,305,233,376,202,211,222,301,264,368,119,383,171,505,145,630,119,383,150,509,140,626,233,149,248,153,191,141,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2666,248,164,181,211,165,207,160,305,186,395,207,219,217,305,248,383,119,380,176,505,140,630,124,383,150,505,140,626,243,153,253,157,202,145,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2667,253,168,186,215,171,211,145,301,150,399,207,219,202,305,217,391,124,387,171,509,140,630,103,380,150,501,140,634,248,157,258,160,212,149,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2668,258,168,191,215,171,211,129,301,109,395,212,223,NULL,NULL,NULL,NULL,140,407,176,513,140,634,150,399,165,509,145,634,248,157,264,160,212,149,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2669,269,172,196,219,176,211,119,293,67,380,217,223,NULL,NULL,NULL,NULL,140,403,181,509,145,630,129,399,155,509,140,626,258,157,274,160,217,153,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2670,279,176,202,219,181,211,103,286,47,356,222,227,NULL,NULL,NULL,NULL,134,395,186,509,145,634,134,391,160,509,140,626,269,164,279,168,227,157,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2671,279,188,207,219,186,215,98,274,31,333,233,231,NULL,NULL,NULL,NULL,134,395,186,513,140,634,119,395,165,513,145,630,274,172,284,176,233,164,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2672,279,188,212,223,191,215,93,266,26,321,238,231,NULL,NULL,NULL,NULL,140,403,191,513,145,638,109,395,165,517,145,630,274,176,289,180,238,168,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2673,289,200,222,227,196,219,98,262,31,313,243,235,NULL,NULL,NULL,NULL,140,399,191,517,145,634,134,399,171,520,145,634,289,188,295,192,248,172,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2674,295,200,222,231,202,227,103,270,31,309,243,243,NULL,NULL,NULL,NULL,134,399,202,509,145,634,140,403,176,517,145,634,295,188,305,192,253,176,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2675,300,207,233,239,207,231,109,278,36,325,248,247,NULL,NULL,NULL,NULL,145,407,207,513,150,634,134,407,176,520,145,630,295,192,310,196,253,180,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2676,310,211,233,243,212,239,119,293,41,344,253,250,NULL,NULL,NULL,NULL,145,407,207,520,160,614,155,411,176,524,150,622,305,196,315,200,264,188,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2677,315,211,238,250,217,247,140,309,72,376,258,258,NULL,NULL,NULL,NULL,150,411,212,524,171,618,165,415,186,528,155,622,310,200,315,203,269,192,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2678,315,219,243,254,222,247,160,333,114,403,258,262,222,344,NULL,NULL,150,419,222,520,176,610,176,419,191,520,165,622,310,207,NULL,NULL,274,196,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2679,315,219,243,254,222,250,186,348,176,442,264,262,227,352,NULL,NULL,176,427,227,524,150,630,191,419,202,520,155,630,310,203,326,207,274,196,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2680,315,219,243,258,227,258,227,360,258,446,264,262,243,352,NULL,NULL,165,415,227,536,155,634,155,415,202,536,150,630,310,207,320,211,269,200,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2681,315,219,248,262,227,258,264,348,331,419,264,262,274,348,300,372,160,411,238,536,165,630,181,415,217,532,160,630,310,203,320,207,269,200,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2682,326,211,258,254,238,250,300,325,393,372,269,254,289,321,NULL,NULL,171,411,243,540,227,556,191,415,217,517,222,548,315,200,326,203,274,196,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2683,326,203,269,243,248,239,351,297,434,309,284,247,NULL,NULL,NULL,NULL,191,434,233,548,171,630,207,427,222,544,155,634,315,192,331,196,279,184,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2684,336,180,284,219,264,211,367,262,455,262,300,223,NULL,NULL,NULL,NULL,202,387,212,450,217,556,233,395,222,458,222,548,331,168,341,172,295,160,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2685,351,153,295,188,274,184,372,231,470,243,310,192,351,227,NULL,NULL,238,360,238,489,171,622,258,364,NULL,NULL,NULL,NULL,346,141,351,145,310,133,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2686,372,129,305,164,289,157,372,215,460,247,320,164,362,219,450,247,264,337,264,446,181,607,274,337,279,438,181,610,367,117,372,121,331,106,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2687,388,110,320,141,310,137,367,215,439,266,331,137,362,219,424,262,289,317,289,462,191,571,284,313,300,462,202,571,382,94,388,98,346,86,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2688,408,94,341,125,331,121,362,215,413,293,351,121,NULL,NULL,NULL,NULL,310,301,331,450,310,458,305,297,331,438,NULL,NULL,403,82,408,82,367,70,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2689,424,82,362,117,351,117,346,203,372,301,377,117,NULL,NULL,NULL,NULL,336,290,372,438,346,446,300,286,357,430,269,517,419,70,429,70,382,63,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2690,460,82,388,117,377,117,336,196,320,286,403,121,NULL,NULL,NULL,NULL,362,286,367,372,388,442,372,282,357,372,382,430,455,70,NULL,NULL,413,63,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2691,481,86,408,121,393,117,331,188,289,266,424,121,NULL,NULL,NULL,NULL,367,301,408,438,346,536,367,301,398,430,346,532,475,74,NULL,NULL,434,67,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2692,501,98,434,141,413,129,331,184,274,250,450,141,NULL,NULL,NULL,NULL,393,309,439,450,393,548,382,305,424,450,388,552,496,86,NULL,NULL,455,74,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2693,517,110,450,149,439,145,351,188,284,247,460,149,351,188,279,247,413,325,460,466,434,579,403,317,444,466,429,583,512,98,522,102,475,90,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2694,537,133,460,172,450,168,377,215,310,270,470,168,NULL,NULL,NULL,NULL,439,348,475,485,475,626,424,340,465,477,475,622,532,117,NULL,NULL,496,110,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2695,553,149,486,192,470,192,413,254,357,325,496,192,NULL,NULL,NULL,NULL,444,372,501,509,481,630,450,368,501,505,481,622,548,137,558,141,517,133,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2696,563,164,501,207,496,211,460,293,439,376,506,203,NULL,NULL,NULL,NULL,475,380,532,517,481,642,460,364,NULL,NULL,NULL,NULL,558,153,NULL,NULL,522,149,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2697,574,176,506,215,506,219,517,325,548,403,512,211,NULL,NULL,NULL,NULL,486,395,543,520,475,642,450,391,527,520,491,642,568,160,NULL,NULL,522,157,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2698,579,168,522,215,517,215,574,309,641,372,522,207,558,305,NULL,NULL,496,391,548,520,475,638,465,387,537,520,496,642,574,157,NULL,NULL,532,153,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2699,589,153,543,200,532,196,620,258,687,290,548,192,615,262,677,286,517,380,543,524,475,634,481,376,548,520,491,634,584,141,584,141,553,141,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2700,599,121,558,164,548,168,646,211,729,219,NULL,NULL,NULL,NULL,NULL,NULL,532,352,532,485,486,618,527,344,532,481,491,614,594,113,NULL,NULL,579,113,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
